index,input_cultural,output_cultural,input_text,output_text
0,5,5,5,4
1,4,2,4,2
2,4,2,5,4
3,4,3,4,2
4,2,2,2,4
5,4,4,2,5
6,4,5,2,3
7,2,4,3,5
8,4,3,4,3
9,3,2,3,4
10,4,4,4,5
11,5,4,2,5
12,5,4,4,2
13,3,4,3,2
14,2,4,2,2
15,5,4,3,5
16,3,2,1,5
17,3,3,4,4
18,4,4,4,4
19,2,5,3,5
20,3,4,2,4
21,3,3,2,1
22,4,4,3,3
23,5,3,4,3
24,2,2,2,2
25,5,4,3,5
26,4,4,3,2
27,4,3,4,5
28,5,4,4,4
29,3,5,1,1
30,4,2,3,2
31,1,3,4,3
32,2,3,3,2
33,2,4,3,5
34,3,3,2,2
35,3,3,4,2
36,3,2,3,4
37,2,3,2,2
38,4,3,3,3
39,3,4,2,3
40,3,4,3,2
41,5,5,1,5
42,2,5,2,4
43,2,4,5,5
44,4,2,4,2
45,2,4,1,3
46,4,2,1,2
47,4,5,4,3
48,3,4,4,2
49,5,2,3,4
50,5,5,5,5
51,3,3,3,4
52,4,3,3,4
53,5,2,4,3
54,2,3,4,3
55,2,2,5,2
56,2,1,4,3
57,4,4,5,5
58,3,4,5,1
59,4,5,3,3
60,2,3,3,4
61,2,3,5,4
62,5,4,3,4
63,2,2,3,3
64,2,3,5,3
65,4,3,4,2
66,4,2,5,4
67,5,5,1,1
68,3,4,2,3
69,3,2,4,5
70,4,4,3,5
71,5,3,1,3
72,4,5,3,3
73,1,1,1,2
74,4,5,3,3
75,5,5,3,3
76,3,1,1,4
77,4,4,5,5
78,5,2,1,3
79,4,3,3,3
80,4,3,1,3
81,2,5,3,4
82,2,3,1,4
83,1,2,3,5
84,4,5,3,1
85,4,3,4,3
86,5,5,2,2
87,5,3,2,3
88,3,3,2,4
89,3,2,3,3
90,1,2,2,4
91,1,1,1,1
92,5,3,4,4
93,4,3,4,5
94,3,4,1,2
95,4,1,2,4
96,1,4,3,3
97,4,5,4,5
98,3,4,1,4
99,3,2,5,4
100,5,5,5,5
101,2,3,4,3
102,3,3,4,5
103,3,3,2,3
104,3,5,1,1
105,2,1,3,2
106,3,2,2,3
107,2,4,1,3
108,2,2,1,4
109,4,3,2,3
